Country,Code,Year,Population,LifeExp,GDPperCap,Continent_Name
Vietnam,VNM,1950,24810000.0,51.831,890.0,Asia
Laos,LAO,1950,1683000.0,40.34,621.0,Asia
Taiwan,TWN,1950,7602000.0,55.556999999999995,1393.0,Asia
Cyprus,CYP,1950,494000.0,65.836,3586.0,Europe
Ireland,IRL,1950,2913000.0,65.646,4668.0,Europe
Liberia,LBR,1950,930000.0,32.172,761.0,Africa
Congo,COG,1950,827000.0,38.889,1181.0,Africa
Burundi,BDI,1950,2309000.0,38.422,790.0,Africa
Mexico,MEX,1950,27945000.0,48.55,2648.0,North America
El Salvador,SLV,1950,2200000.0,43.245,1370.0,North America
Netherlands,NLD,1950,10042000.0,71.411,7162.0,Europe
Argentina,ARG,1950,17038000.0,61.441,8542.0,South America
Bolivia,BOL,1950,3082000.0,39.125,1627.0,South America
Peru,PER,1950,7777000.0,43.452,2048.0,South America
Mauritania,MRT,1950,651000.0,38.391,770.0,Africa
Gambia,GMB,1950,305000.0,29.674,1829.0,Africa
Trinidad and Tobago,TTO,1950,646000.0,56.768,5080.0,North America
Afghanistan,AFG,1950,7752000.0,27.638,2392.0,Asia
Colombia,COL,1950,11982000.0,49.986999999999995,2984.0,South America
Iceland,ISL,1950,143000.0,71.668,8653.0,Europe
Honduras,HND,1950,1547000.0,40.847,1838.0,North America
Iran,IRN,1950,17119000.0,39.424,2568.0,Asia
United States,USA,1950,158804000.0,68.202,15241.0,North America
Spain,ESP,1950,28070000.0,63.093999999999994,4201.0,Europe
Cote d'Ivoire,CIV,1950,2630000.0,28.869,1737.0,Africa
Thailand,THA,1950,20710000.0,49.909,991.0,Asia
Cameroon,CMR,1950,4307000.0,37.785,860.0,Africa
Sri Lanka,LKA,1950,7971000.0,52.483000000000004,1458.0,Asia
Chad,TCD,1950,2502000.0,35.55,1240.0,Africa
Central African Republic,CAF,1950,1327000.0,31.761,1163.0,Africa
Togo,TGO,1950,1395000.0,33.927,907.0,Africa
Hungary,HUN,1950,9338000.0,62.615,2654.0,Europe
South Korea,KOR,1950,19211000.0,35.573,1122.0,Asia
Hong Kong,HKG,1950,1974000.0,62.136,4013.0,Asia
Greece,GRC,1950,7669000.0,65.41199999999999,2628.0,Europe
Libya,LBY,1950,1125000.0,37.271,2976.0,Africa
Kenya,KEN,1950,6077000.0,41.802,1372.0,Africa
Cuba,CUB,1950,5920000.0,58.225,3841.0,North America
Costa Rica,CRI,1950,946000.0,55.043,2855.0,North America
Jordan,JOR,1950,481000.0,44.763000000000005,2007.0,Asia
Tunisia,TUN,1951,3696000.0,38.403,1607.0,Africa
Liberia,LBR,1951,944000.0,32.288000000000004,787.0,Africa
Ghana,GHA,1951,5140000.0,41.388000000000005,2346.0,Africa
Mauritius,MUS,1951,506000.0,48.595,3196.0,Africa
Israel,ISR,1951,1345000.0,68.48,4634.0,Asia
Cameroon,CMR,1951,4384000.0,37.965,881.0,Africa
Comoros,COM,1951,163000.0,38.247,900.0,Africa
Brazil,BRA,1951,55606000.0,50.245,1544.0,South America
Peru,PER,1951,7976000.0,43.59,2141.0,South America
Mauritania,MRT,1951,667000.0,38.679,792.0,Africa
Malta,MLT,1951,312000.0,64.594,1640.0,Europe
Eswatini,SWZ,1951,279000.0,39.648,762.0,Africa
Panama,PAN,1951,881000.0,56.001999999999995,1941.0,North America
Iraq,IRQ,1951,5902000.0,35.658,3009.0,Asia
Philippines,PHL,1951,19247000.0,55.305,1301.0,Asia
Colombia,COL,1951,12296000.0,50.472,2958.0,South America
Tanzania,TZA,1951,7845000.0,40.316,1388.0,Africa
Poland,POL,1951,25283000.0,59.761,3222.0,Europe
Denmark,DNK,1951,4309000.0,70.62899999999999,9307.0,Europe
Gabon,GAB,1951,476000.0,35.989000000000004,4091.0,Africa
Burkina Faso,BFA,1951,4324000.0,30.224,1400.0,Africa
Argentina,ARG,1951,17390000.0,61.751000000000005,8425.0,South America
Albania,ALB,1951,1287000.0,54.398999999999994,1542.0,Europe
Luxembourg,LUX,1951,298000.0,65.531,13260.0,Europe
Burundi,BDI,1951,2360000.0,38.574,821.0,Africa
Mali,MLI,1951,4759000.0,26.563000000000002,1258.0,Africa
Palestine,PSE,1951,924000.0,46.253,827.0,Asia
Uruguay,URY,1951,2261000.0,65.868,6820.0,South America
Trinidad and Tobago,TTO,1951,659000.0,57.097,5440.0,North America
Yemen,YEM,1951,4717000.0,29.131999999999998,1062.0,Asia
Costa Rica,CRI,1951,972000.0,55.266999999999996,2826.0,North America
Seychelles,SYC,1951,37000.0,61.571999999999996,5206.0,Africa
Ethiopia,ETH,1951,18467000.0,33.468,672.0,Africa
Paraguay,PRY,1951,1512000.0,62.676,1296.0,South America
Portugal,PRT,1951,8419000.0,59.724,2914.0,Europe
Finland,FIN,1951,4050000.0,65.71,5879.0,Europe
Mexico,MEX,1951,28750000.0,49.11,2723.0,North America
Romania,ROU,1951,16513000.0,61.031000000000006,1206.0,Europe
Bulgaria,BGR,1951,7311000.0,60.88,3519.0,Europe
Zambia,ZMB,1951,2369000.0,42.537,1084.0,Africa
Syria,SYR,1951,3499000.0,46.727,2340.0,Asia
Iran,IRN,1951,17517000.0,39.715,2497.0,Asia
Malaysia,MYS,1951,6271000.0,53.732,2463.0,Asia
Djibouti,DJI,1951,63000.0,40.531,4386.0,Africa
Ireland,IRL,1951,2913000.0,65.983,4566.0,Europe
Sierra Leone,SLE,1951,2064000.0,28.15,1807.0,Africa
Spain,ESP,1951,28220000.0,63.488,4593.0,Europe
Afghanistan,AFG,1951,7840000.0,27.878,2422.0,Asia
Democratic Republic of Congo,COD,1951,12429000.0,38.531,1886.0,Africa
Bangladesh,BGD,1951,38706000.0,39.44,1115.0,Asia
Equatorial Guinea,GNQ,1951,231000.0,33.439,864.0,Africa
Sweden,SWE,1951,7073000.0,71.475,9078.0,Europe
Canada,CAN,1951,14078000.0,68.638,12267.0,North America
Libya,LBY,1951,1143000.0,36.98,3210.0,Africa
United Kingdom,GBR,1951,50602000.0,68.903,9599.0,Europe
Thailand,THA,1951,21263000.0,50.125,1054.0,Asia
Congo,COG,1951,842000.0,39.281,1205.0,Africa
Puerto Rico,PRI,1951,2194000.0,61.648999999999994,4878.0,North America
Pakistan,PAK,1951,37993000.0,35.696999999999996,1137.0,Asia
Greece,GRC,1951,7743000.0,65.473,2830.0,Europe
Oman,OMN,1951,462000.0,34.663000000000004,1359.0,Asia
Australia,AUS,1951,8398000.0,68.991,12876.0,Oceania
Madagascar,MDG,1951,4168000.0,35.591,967.0,Africa
Norway,NOR,1951,3301000.0,72.471,8442.0,Europe
Germany,DEU,1951,70300000.0,67.059,6120.0,Europe
Venezuela,VEN,1951,5727000.0,54.574,4384.0,South America
Austria,AUT,1951,6931000.0,66.149,4845.0,Europe
Cambodia,KHM,1951,4538000.0,39.999,558.0,Asia
Lebanon,LBN,1951,1358000.0,59.81399999999999,7546.0,Asia
Hungary,HUN,1951,9481000.0,62.982,2929.0,Europe
Vietnam,VNM,1951,25365000.0,52.262,914.0,Asia
Niger,NER,1951,2638000.0,34.43,1167.0,Africa
Lesotho,LSO,1951,717000.0,44.208,415.0,Africa
Rwanda,RWA,1951,2251000.0,39.684,629.0,Africa
Saint Lucia,LCA,1951,84000.0,49.213,2009.0,North America
Uganda,UGA,1951,5308000.0,39.306999999999995,1106.0,Africa
Jamaica,JAM,1951,1437000.0,57.952,2256.0,North America
Italy,ITA,1951,47010000.0,65.821,3983.0,Europe
France,FRA,1951,42031000.0,66.506,7277.0,Europe
Iceland,ISL,1951,145000.0,71.82600000000001,8178.0,Europe
Dominican Republic,DOM,1951,2439000.0,44.816,1808.0,North America
Honduras,HND,1951,1589000.0,41.065,1876.0,North America
